Image_number,URL,PMID,Pathophysiological_Process,Anatomy,Cell,Subject,Predicate,Object,Source,Normalized_Input,Category
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,endotheliitis,CBM,covid 19 endotheliitis,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,stasis,CBM,covid 19 stasis,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,disseminated intravascular coagulation,CBM,covid 19 disseminated intravascular coagulation,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,Capillary thrombosis,CBM,covid 19 capillary thrombosis,Immune and Inflammatory Response
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,pericyte damage,CBM,covid 19 pericyte damage,Immune and Inflammatory Response
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,decreases,Neurovascular Coupling,CBM,covid 19 neurovascular coupling,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,decreases,maintenance of blood-brain barrier,CBM,covid 19 maintenance of blood brain barrier,Viral Entry and Neuroinvasion
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,inflammation,CBM,covid 19 inflammation,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,arteriolar thrombosis,CBM,covid 19 arteriolar thrombosis,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,Atheroma of cerebral arteries,CBM,covid 19 atheroma of cerebral arteries,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,COVID-19,increases,thrombosis,CBM,covid 19 thrombosis,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,remdesivir,decreases,Virus Diseases,CBM,remdesivir virus diseases,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,remdesivir,decreases,Virus Replication,CBM,remdesivir virus replication,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Oxygen Inhalation Therapy,decreases,pneumonia,CBM,oxygen inhalation therapy pneumonia,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Oxygen Inhalation Therapy,decreases,adult respiratory distress syndrome,CBM,oxygen inhalation therapy adult respiratory distress syndrome,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Oxygen Inhalation Therapy,decreases,hypoxia,CBM,oxygen inhalation therapy hypoxia,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,"Respiration, Artificial",decreases,pneumonia,CBM,"respiration, artificial pneumonia",Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,"Respiration, Artificial",decreases,adult respiratory distress syndrome,CBM,"respiration, artificial adult respiratory distress syndrome",Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,"Respiration, Artificial",decreases,hypoxia,CBM,"respiration, artificial hypoxia",Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,IFNB1,decreases,pneumonia,CBM,ifnb1 pneumonia,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,IFNB1,decreases,adult respiratory distress syndrome,CBM,ifnb1 adult respiratory distress syndrome,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,IFNB1,decreases,hypoxia,CBM,ifnb1 hypoxia,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,heparin,decreases,Thrombophilia,CBM,heparin thrombophilia,Viral Entry and Neuroinvasion
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,heparin,decreases,DIC,CBM,heparin dic,Viral Entry and Neuroinvasion
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,heparin,decreases,thrombocytopenia,CBM,heparin thrombocytopenia,Immune and Inflammatory Response
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,heparin,decreases,systemic inflammation,CBM,heparin systemic inflammation,Viral Entry and Neuroinvasion
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Thrombolytic Therapy,decreases,Thrombophilia,CBM,thrombolytic therapy thrombophilia,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Thrombolytic Therapy,decreases,disseminated intravascular coagulation,CBM,thrombolytic therapy disseminated intravascular coagulation,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Thrombolytic Therapy,decreases,thrombocytopenia,CBM,thrombolytic therapy thrombocytopenia,Immune and Inflammatory Response
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Thrombolytic Therapy,decreases,systemic inflammation,CBM,thrombolytic therapy systemic inflammation,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,corticosteroid,decreases,Thrombophilia,CBM,corticosteroid thrombophilia,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,corticosteroid,decreases,disseminated intravascular coagulation,CBM,corticosteroid disseminated intravascular coagulation,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,corticosteroid,decreases,thrombocytopenia,CBM,corticosteroid thrombocytopenia,Immune and Inflammatory Response
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,corticosteroid,decreases,systemic inflammation,CBM,corticosteroid systemic inflammation,Systemic Cross-Organ Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Plasma Exchange,decreases,Thrombophilia,CBM,plasma exchange thrombophilia,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Plasma Exchange,decreases,disseminated intravascular coagulation,CBM,plasma exchange disseminated intravascular coagulation,Vascular Effects
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Plasma Exchange,decreases,thrombocytopenia,CBM,plasma exchange thrombocytopenia,Immune and Inflammatory Response
image_31,https://media.springernature.com/lw1200/springer-static/image/art%3A10.1186%2Fs13195-020-00744-w/MediaObjects/13195_2020_744_Fig1_HTML.png,33380345,COVID-19,Brain,Missing,Plasma Exchange,decreases,systemic inflammation,CBM,plasma exchange systemic inflammation,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,COVID-19,increases,Epstein-Barr Virus Reactivation,CBM,covid 19 epstein barr virus reactivation,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,COVID-19,increases,"Herpes Simplex Reactivation, CTCAE",CBM,"covid 19 herpes simplex reactivation, ctcae",Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,Epstein-Barr Virus Reactivation,increases,viral_dUTPase_release,CBM,epstein barr virus reactivation viral dutpase release,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,"Herpes Simplex Reactivation, CTCAE",increases,viral_dUTPase_release,CBM,"herpes simplex reactivation, ctcae viral dutpase release",Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,viral_dUTPase_release,increases,dendritic cell activation,CBM,viral dutpase release dendritic cell activation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,dendritic cell activation,increases,INHBA,CBM,dendritic cell activation inhba,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,dendritic cell activation,increases,T follicular helper cell activation,CBM,dendritic cell activation t follicular helper cell activation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,T follicular helper cell activation,increases,cytokine production involved in inflammatory response,CBM,t follicular helper cell activation cytokine production involved in inflammatory response,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,cytokine production involved in inflammatory response,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,cytokine production involved in inflammatory response myalgic encephalomeyelitis/chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,cytokine production involved in inflammatory response,increases,chronic fatigue syndrome,CBM,cytokine production involved in inflammatory response chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,cytokine production involved in inflammatory response,increases,COVID-19,CBM,cytokine production involved in inflammatory response covid 19,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,viral_dUTPase_release,increases,TBX21,CBM,viral dutpase release tbx21,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,TBX21,increases,T-helper 1 cell,CBM,tbx21 t helper 1 cell,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,T-helper 1 cell,increases,IL2,CBM,t helper 1 cell il2,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,T-helper 1 cell,increases,IFNG,CBM,t helper 1 cell ifng,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,IL2,increases,interferon antibody,CBM,il2 interferon antibody,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,IFNG,increases,interferon antibody,CBM,ifng interferon antibody,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,interferon antibody,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,interferon antibody myalgic encephalomeyelitis/chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,interferon antibody,increases,chronic fatigue syndrome,CBM,interferon antibody chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,COVID-19,Missing,Missing,interferon antibody,increases,Post-Acute COVID-19 Syndrome,CBM,interferon antibody post acute covid 19 syndrome,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,viral_dUTPase_release,increases,RORC,CBM,viral dutpase release rorc,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,RORC,increases,T-helper 17 cell hyperactivation,CBM,rorc t helper 17 cell hyperactivation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,T-helper 17 cell hyperactivation,increases,IL17A,CBM,t helper 17 cell hyperactivation il17a,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,T-helper 17 cell hyperactivation,increases,IL22,CBM,t helper 17 cell hyperactivation il22,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,T-helper 17 cell hyperactivation,increases,IL23A,CBM,t helper 17 cell hyperactivation il23a,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,IL17A,increases,inflammation,CBM,il17a inflammation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,IL22,increases,inflammation,CBM,il22 inflammation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,IL23A,increases,inflammation,CBM,il23a inflammation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,inflammation,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,inflammation myalgic encephalomeyelitis/chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,inflammation,increases,chronic fatigue syndrome,CBM,inflammation chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,inflammation,increases,Post-Acute COVID-19 Syndrome,CBM,inflammation post acute covid 19 syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,viral_dUTPase_release,increases,FOXP3,CBM,viral dutpase release foxp3,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,FOXP3,increases,regulatory T cell dysregulation,CBM,foxp3 regulatory t cell dysregulation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,regulatory T cell dysregulation,decreases,IL10,CBM,regulatory t cell dysregulation il10,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,regulatory T cell dysregulation,decreases,TGFB1,CBM,regulatory t cell dysregulation tgfb1,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,IL10,decreases,Immune dysregulation,CBM,il10 immune dysregulation,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,TGFB1,decreases,Immune dysregulation,CBM,tgfb1 immune dysregulation,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,Immune dysregulation,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,immune dysregulation myalgic encephalomeyelitis/chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,Immune dysregulation,increases,chronic fatigue syndrome,CBM,immune dysregulation chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,Immune dysregulation,increases,Post-Acute COVID-19 Syndrome,CBM,immune dysregulation post acute covid 19 syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,viral_dUTPase_release,increases,mature NK T cell,CBM,viral dutpase release mature nk t cell,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,mature NK T cell,increases,autoreactive antibody to Epstein-Barr Virus reactivation,CBM,mature nk t cell autoreactive antibody to epstein barr virus reactivation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,mature NK T cell,increases,"autoreactive antibody to Herpes Simplex reactivation, CTCAE",CBM,"mature nk t cell autoreactive antibody to herpes simplex reactivation, ctcae",Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,mature NK T cell,increases,Autoimmunity,CBM,mature nk t cell autoimmunity,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,autoreactive antibody to Epstein-Barr Virus reactivation,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,autoreactive antibody to epstein barr virus reactivation myalgic encephalomeyelitis/chronic fatigue syndrome,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,autoreactive antibody to Epstein-Barr Virus reactivation,increases,chronic fatigue syndrome,CBM,autoreactive antibody to epstein barr virus reactivation chronic fatigue syndrome,Viral Entry and Neuroinvasion
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,autoreactive antibody to Epstein-Barr Virus reactivation,increases,Post-Acute COVID-19 Syndrome,CBM,autoreactive antibody to epstein barr virus reactivation post acute covid 19 syndrome,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,"autoreactive antibody to Herpes Simplex reactivation, CTCAE",increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,"autoreactive antibody to herpes simplex reactivation, ctcae myalgic encephalomeyelitis/chronic fatigue syndrome",Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,"autoreactive antibody to Herpes Simplex reactivation, CTCAE",increases,chronic fatigue syndrome,CBM,"autoreactive antibody to herpes simplex reactivation, ctcae chronic fatigue syndrome",Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,"autoreactive antibody to Herpes Simplex reactivation, CTCAE",increases,Post-Acute COVID-19 Syndrome,CBM,"autoreactive antibody to herpes simplex reactivation, ctcae post acute covid 19 syndrome",Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,Autoimmunity,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,autoimmunity myalgic encephalomeyelitis/chronic fatigue syndrome,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,Autoimmunity,increases,chronic fatigue syndrome,CBM,autoimmunity chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,Autoimmunity,increases,Post-Acute COVID-19 Syndrome,CBM,autoimmunity post acute covid 19 syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,viral_dUTPase_release,increases,B cell differentiation,CBM,viral dutpase release b cell differentiation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,B cell differentiation,increases,plasma cell differentiation,CBM,b cell differentiation plasma cell differentiation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,B cell differentiation,increases,autoreactive antibody to Epstein-Barr Virus reactivation,CBM,b cell differentiation autoreactive antibody to epstein barr virus reactivation,Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,B cell differentiation,increases,"autoreactive antibody to Herpes Simplex reactivation, CTCAE",CBM,"b cell differentiation autoreactive antibody to herpes simplex reactivation, ctcae",Immune and Inflammatory Response
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,plasma cell differentiation,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,plasma cell differentiation myalgic encephalomeyelitis/chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,plasma cell differentiation,increases,chronic fatigue syndrome,CBM,plasma cell differentiation chronic fatigue syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,plasma cell differentiation,increases,Post-Acute COVID-19 Syndrome,CBM,plasma cell differentiation post acute covid 19 syndrome,Systemic Cross-Organ Effects
image_32,https://www.mdpi.com/viruses/viruses-15-00400/article_deploy/html/images/viruses-15-00400-g005.png,36851614,Missing,Missing,Missing,autoreactive antibody to Epstein-Barr Virus reactivation,increases,myalgic encephalomeyelitis/chronic fatigue syndrome,CBM,autoreactive antibody to epstein barr virus reactivation myalgic encephalomeyelitis/chronic fatigue syndrome,Viral Entry and Neuroinvasion
