Image_number;URL;PMID;Pathophysiological Process;Anatomy;Cell;Subject;Object;Source;Predicate
image_15;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png;Not_found;Cytokine storm;Missing;Missing;endothelial damage;CXCL10;CBM;INCREASE
image_15;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png;Not_found;Cytokine storm;Missing;Missing;endothelial damage;IL6;CBM;INCREASE
image_15;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png;Not_found;coagulopathy;Missing;Missing;COVID-19;coagulation factor activation;CBM;INCREASE
image_15;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs12028-020-01049-4/MediaObjects/12028_2020_1049_Fig1_HTML.png;Not_found;coagulopathy;Missing;Missing;coagulation factor activation;thrombosis;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;Neuroinflammation;Missing;Missing;COVID-19;encephalitis;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;Neuroinflammation;Missing;Missing;COVID-19;myelitis;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;Neuroinflammation;Missing;Missing;COVID-19;encephalomyelitis;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;Neuroinflammation;Missing;Missing;COVID-19;acute hemorrhagic leukoencephalitis;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;Direct neuroinvasion;Missing;Missing;COVID-19;hematogenous;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;Direct neuroinvasion;Missing;Missing;COVID-19;Neurotropism;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;autoimmune disease;Missing;Missing;COVID-19;Guillain-Barre syndrome;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;Anosmia;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;ageusia;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;Ischemic stroke;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;encephalopathy;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;post-traumatic stress disorder;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;fatigue;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;weakness;CBM;INCREASE
image_16;https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs00134-021-06439-6/MediaObjects/134_2021_6439_Fig1_HTML.png;34097083;COVID-19 Complication;Missing;Missing;COVID-19;systemic insult;CBM;INCREASE
image_17;https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg;35392472;SARS-Cov2 infection spread;olfactory epithelium;Missing;SARS-CoV-2 S binding to ACE2;SARS-Cov2 infection at nasal epithelium;CBM;INCREASE
image_17;https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg;35392472;SARS-Cov2 infection spread;olfactory epithelium;Missing;Severe acute respiratory syndrome coronavirus 2;SARS-Cov2 infection spread down olfatory nerve;CBM;INCREASE
image_17;https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg;35392472;SARS-Cov2 infection spread;olfactory epithelium;Missing;Severe acute respiratory syndrome coronavirus 2;SARS-Cov2 infection at olfactory bulb through cribriform plate;CBM;INCREASE
image_17;https://www.frontiersin.org/files/Articles/843850/fpubh-10-843850-HTML/image_m/fpubh-10-843850-g001.jpg;35392472;SARS-Cov2 infection spread;olfactory epithelium;Missing;SARS-Cov2 infection at olfactory bulb through cribriform plate;olfactory nerve disease;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;Type-I interferon production;Missing;Missing;COVID-19;regulation of type I interferon production;CBM;DECREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;IL1A;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;IL1B;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;IL2;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;CXCL8;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;IL18;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;CXCL10;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;CXCL12;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;CCL1;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;CCL2;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;CSF2;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;inflammatory response;Missing;Missing;COVID-19;TNFSF13B;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;impaired blood-brain barrier function;Brain;Missing;COVID-19;reactive oxygen species;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;impaired blood-brain barrier function;Brain;Missing;COVID-19;microglial cell activation;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;impaired blood-brain barrier function;Brain;Missing;COVID-19;Nervous System Injury;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;impaired blood-brain barrier function;Brain;Missing;cell damage factor;autoantigen release;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;impaired blood-brain barrier function;Brain;Missing;cell stress factor;autoantigen release;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;dysregulated antibody generation;Missing;Missing;COVID-19;autoantibody level;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;dysregulated antibody generation;Missing;Missing;COVID-19;neuron repair;CBM;DECREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;dysregulated antibody generation;Missing;Missing;COVID-19;neuron regeneration;CBM;DECREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;Nerve Degeneration;Missing;Neurons;cell damage factor;neuronal apoptotic process;CBM;INCREASE
image_18;https://www.frontiersin.org/files/Articles/1039427/fimmu-13-1039427-HTML/image_m/fimmu-13-1039427-g001.jpg;36591299;Nerve Degeneration;Missing;Neurons;cell stress factor;neuronal apoptotic process;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Alveolitis;Lungs;Missing;Severe acute resiratory syndrome coronavirus 2;ACE2;CBM;TRIGGER
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;circulatory cytokines;Dysbiosis;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;SARS-Cov2 leakage into gut;Dysbiosis;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;SARS-Cov2 binding to enterocyte;Dysbiosis;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;Dysbiosis;pathobiont;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;Dysbiosis;synbiotic microbiome;CBM;DECREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;Dysbiosis;gastrointestinal symptom;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;Dysbiosis;calprotectin complex;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;Dysbiosis;Gastrointestinal Tract;Missing;Dysbiosis;SARS-Cov2 replicative activity marker;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;multi-organ dysfunction;"Brain; Heart; Kidney; Heart";Missing;Dysbiosis;Cyokine storm;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;multi-organ dysfunction;"Brain; Heart; Kidney; Heart";Missing;Cyokine storm;organ dysfuntion;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;leaky gut;Missing;Missing;leaky gut;Bacterial Translocation;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;leaky gut;Missing;Missing;leaky gut;toxin translocation;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;leaky gut;Missing;Missing;leaky gut;pro-inflammatory cytokines;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;leaky gut;Missing;Missing;Bacterial Translocation;alveolitis;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;leaky gut;Missing;Missing;toxin translocation;alveolitis;CBM;INCREASE
image_19;https://www.frontiersin.org/files/Articles/765965/fimmu-12-765965-HTML-r1/image_m/fimmu-12-765965-g001.jpg;34721437;leaky gut;Missing;Missing;pro-inflammatory cytokines;alveolitis;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;blood lung barrier damage;positive regulation of inflammatory response;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;positive regulation of inflammatory response;reactive oxygen species;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;positive regulation of inflammatory response;Cytokines;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;complement activation;Abnormality of coagulation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;complement activation;thrombosis;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;platelet activation;Abnormality of coagulation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;platelet activation;thrombosis;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;IL6;pro fibrotic stage;CBM;POSITIVECORRELATION
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;IL1B;pro fibrotic stage;CBM;POSITIVECORRELATION
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Lung;Missing;fibroblast activation;pro fibrotic stage;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Brain;Missing;impaired blood-brain barrier function;parenchymal leukocyte infiltration;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Brain;Missing;impaired blood-brain barrier function;parenchymal cytokine infiltration;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Brain;Missing;impaired blood-brain barrier function;Neuroinflammation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Brain;Missing;long term immune response;glial cell activation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Brain;Missing;long term immune response;chronic neuronal damage;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Brain;Missing;thrombosis;autonomic dysfunction;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Heart;Missing;chronic inflammation;myositis;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Heart;Missing;local intense immune response;myositis;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Heart;Missing;endothelial damage;Abnormality of coagulation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Heart;Missing;microthrombosis;Abnormality of coagulation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Heart;Missing;long term immune response;pro fibrotic stage;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Heart;Missing;cardiac fibromyoblast activation;pro fibrotic stage;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Missing;Missing;central factors;Neuroinflammation;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Missing;Missing;central factors;Cytokine storm;CBM;INCREASE
image_20;https://www.mdpi.com/life/life-12-00285/article_deploy/html/images/life-12-00285-g001.png;35207572;Missing;Missing;Missing;peripheral factors;neuromuscular disease;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;societal response to prevent pandemic;COVID-19;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;Social Distancing;COVID-19;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;Physical Distancing;COVID-19;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;COVID-19;low grade inflammation;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;COVID-19;nicotinic cholinergic system;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;COVID-19;renin-angiotensin system;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;Social Distancing;low grade inflammation;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;Physical Distancing;low grade inflammation;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;nicotinic cholinergic system;low grade inflammation;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;nicotinic cholinergic system;renin-angiotensin system;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;psychosocial intervention;Physical Distancing;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;psychosocial intervention;Social Distancing;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;psychosocial intervention;low grade inflammation;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;psychosocial intervention;suicidal vulnerability;CBM;DECREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;Social Distancing;suicidal vulnerability;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;Physical Distancing;suicidal vulnerability;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;low grade inflammation;suicidal vulnerability;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;nicotinic cholinergic system;suicidal vulnerability;CBM;INCREASE
image_21;https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11920-021-01227-x/MediaObjects/11920_2021_1227_Fig1_HTML.png;33660116;COVID-19;Missing;Missing;renin-angiotensin system;suicidal vulnerability;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;endothelial dysfunction;platelet activation;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;endothelial dysfunction;vascular risk factors;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;platelet activation;myocardial disorder;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;myocardial disorder;Disability;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;platelet activation;Disability;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;endothelial damage;Disability;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;blood coagulation;Disability;CBM;POSITIVECORRELATION
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;vascular risk factors;Disability;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;thrombosis;Disability;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;stroke;vascular risk factors;CBM;INCREASE
image_22;https://www.mdpi.com/viruses/viruses-15-01598/article_deploy/html/images/viruses-15-01598-g001-550.jpg;37515284;COVID-19;Missing;Missing;low healthcare;vascular risk factors;CBM;INCREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;SARS-CoV-2 S binding to ACE2;ACE2;CBM;DECREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;ACE2;microglial cell activation;CBM;NEGATIVECORRELATION
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;microglial cell activation;astrocyte activation;CBM;INCREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;astrocyte activation;angiotensin 1-7;CBM;DECREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;angiotensin 1-7;MAS1;CBM;INCREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;astrocyte activation;MAS1;CBM;DECREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;microglial cell activation;angiotensin II;CBM;INCREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;angiotensin II;cytokine production involved in inflammatory response;CBM;INCREASE
image_23;https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs40035-022-00316-y/MediaObjects/40035_2022_316_Fig4_HTML.png;36089575;COVID-19;Missing;Missing;angiotensin 1-7;cytokine production involved in inflammatory response;CBM;DECREASE
